row_id,split,label,text,hindi_text,hindi_abuse,hinglish_abuse,score_delta,attempts,fail_reason,last_output
train-11,train,0,,हमें   परमात्मा की   भक्ति   करनी    चाहिए   नहीं तो   गधी   बनोगी    sat   saheb  ji🙏🙏,0.9963,0.0818,0.9146,3,abuse_score_drop,Hame Parmatma ki bhakti karni chahiye na to gandi banogi sat saheb ji🙏🙏
train-19,train,0,,कोई भी धक्का मुक्की नहीं करेंगा सभी को गाली देने का बराबर मोका मिलेगा सभी के चाय नाश्ते कि व्यवस्था करता हूं और आशा करता हूं कि सभी नयी गाली देंगे  😂😂😂😂😁😁😁,0.9779,0.0135,0.9644,3,abuse_score_drop,"Koi bhi dhakka muki nahi karega, sabko gali dena barabar mokha milega, sabke chai nashte ki vayavastha karta hoon aur asha karta hoon ki sab naye gali denge 😂😂😂😂😁😁😁"
train-40,train,0,,"फेंक लो जितना लम्बा फेंक सकते हो , पप्पू मूत्रजीवीयों",0.9971,0.0144,0.9828,3,abuse_score_drop,"Phenk lo jitna lamba phenk sakte ho, puppu mootrjeeviyoon"
train-49,train,0,,तुम्हारे दूध इतने सुन्दर है तो वो कितनी सुंदर होगी,0.9975,0.1104,0.8871,3,abuse_score_drop,Tumhare doodh itne sundar hai to vo kitni sundar hogi
train-52,train,0,,कुत्ता ही मिला था,0.9886,0.0073,0.9813,3,abuse_score_drop,Kutta hi mila tha
train-47,train,0,,आवा गर्मी देती हो,0.9931,0.0253,0.9679,3,abuse_score_drop,Ava garmi deti ho
train-59,train,0,,अनजान से निकालो मेरा दम घूट रहा है वहां ☹️😭,0.9742,0.0092,0.965,3,abuse_score_drop,"Anjana se nikalo, mere dam ghoot raha hai waha par 😭😭"
train-67,train,0,,जय श्री राम जय जय श्री राम शर्म करो जिनको राम के नाम से शर्म आ रही है,0.9985,0.0069,0.9916,3,abuse_score_drop,"Jay shri ram jay jay shri ram, shame karo jo logo ko ram ke naam se shame a rahi hai"
train-99,train,0,,तब तो साला में टमाटर के पेड़ के पास एक दर्जन केला ही रख दूंगा🤣🤣🤣🤣😜😜😜😜😜,0.8658,0.0182,0.8476,3,abuse_score_drop,Tab to sala main tomato ke ped ke paas ek dozen banana hi rakh dunga 😂😂😂😂😜😜😜😜😜
train-116,train,0,,मंदिर में आकर भी रंडियों वाला ही वीडियो बना रही है,0.9991,0.7809,0.2182,3,abuse_score_drop,Mandir me ake bhi randi wala hi video ban rahi hai
train-108,train,0,,ए  जन्नत अपनी औकात में रहना  हम तेरी जन्नत की मोहताज नहीं   हम श्री राम जी के चरणों के बासी हैं  वहां तेरी कोई औकात नहीं❌   जय जय श्री राम🚩🙏,0.9947,0.0226,0.972,3,abuse_score_drop,"Jannat apni aukaat me raho, ham teri jannat ki mohatij nahi. Ham Shri Ram ji ke charan ke basi hain, wahan teri koi aukaat nahi. Jay jay Shri Ram."
train-125,train,0,,कठमुल्लों की बहुत जली होगी,0.9988,0.0088,0.99,3,abuse_score_drop,Kathmullon ki bahut jal hui hogi
train-137,train,0,,Rcb बीबी के चक्कर मे सब पडे है   मारते थे छक्का अब चौका भी नही लगता  कोहली,0.9975,0.0228,0.9748,3,abuse_score_drop,"RCB bibi ke chakkar mein sab padhe hai, marthe the chhakka ab chauka bhi nahi laga Kohli"
train-176,train,0,,बहोत सेक्सी लग रही हो आप मॅडम 💋💋,0.9627,0.0147,0.948,3,abuse_score_drop,Bahot sexy lag rahi ho aap madam 💋💋
train-186,train,0,,तू दात क्यू निकली है साली,0.999,0.0095,0.9894,3,abuse_score_drop,Tumne daant kyun nikal diya salli
train-198,train,0,,मैंने देख लिया दूरबीन लगा के ओर सब को दिखा दे कपड़ा उतर के,0.9534,0.0077,0.9457,3,abuse_score_drop,"Maine dekh liya, doorbin lagake aur sab ko dikha de, kapda utar ke"
train-216,train,0,,रंडी से बात चल रही है,0.9993,0.0164,0.9828,3,abuse_score_drop,Randi se baat chal rahi hai
train-235,train,0,,🐖 सुअर की पैदाइश है कांग्रेसी,0.9992,0.0408,0.9584,3,abuse_score_drop,Congressi suar ke paadai hai
train-242,train,0,,इसको  मौत से बढ़कर सजा मिली चाहिए,0.9713,0.0056,0.9657,3,abuse_score_drop,Isko maut se baddar kam milna chahiye
train-244,train,0,,मोदी जी योगी जी को समझा रहे है कि तुम टेंशन मत लो...मै जहां पर आज हूं कल तुम रहोगें,0.6954,0.0584,0.637,3,abuse_score_drop,Modi ji Yogi ji ko samjha raha hai ki tum tension mat lo... main jaha aaj hoon kal tum rehoge
train-248,train,0,,दोनो में से कम से कम  5 लिटर दूध निकलेगा मैडम जी,0.9972,0.0879,0.9092,3,abuse_score_drop,Dono me se kam se kam 5 liter doodh niklega madam ji
train-253,train,0,,खाना नहीं खाती क्या बहुत दुबली पतली हो,0.2827,0.0109,0.2718,3,abuse_score_drop,"Khana nahi khaati kya, bahut durbhali patli ho"
train-268,train,0,,दिखाने के लिए आए थे क्या मरने वाली बात कर रही हो तो मर जाओ,0.989,0.0087,0.9802,3,abuse_score_drop,"Dikhane ke liye aaye the, ya marne wali baat kar rahi ho to mar jao"
train-270,train,0,,चमचे अब सिर से पैर तक जलने लगेगी,0.9356,0.0182,0.9174,3,abuse_score_drop,Chamche ab se sir se pados tak jalega tumhara
train-287,train,0,,इस नशेड़ी को तो जेल में सड़ने दो,0.9984,0.6276,0.3708,3,abuse_score_drop,Is nasheri ko to jail mein sardna do
train-288,train,0,,"काला पानी की सजा हुई थी सावरकर जी को, 2 बार उम्र कैद हुई थी उनको 🙏🙏 नमन है उनको, इतना बता दे अम्बेडकर ने क्या किया 😂 आजादी के लिए किसी भी आंदोलन तथा, सत्याग्रह में नही दिखा",0.9983,0.0388,0.9595,3,abuse_score_drop,"Kalaa paani ki saza hui thi savarkar ji ko, do baar umar kaid hui thi unko 🙏🙏 namna hai unko, itna batana ambekar ne kya kiya 😂 azadi ke liye kisi bhi andolan tatha satyagrah me nahi dikha"
train-296,train,0,,पुनम जी मुझे राज का लिंग सेड करों,0.9963,0.0057,0.9905,3,abuse_score_drop,Punam ji mujhe raj ka ling send karo
train-300,train,0,,लास्ट में का लौड़ा है,0.9976,0.0096,0.988,3,abuse_score_drop,Last mei ka lauda hai
train-301,train,0,,एग्जाम के आखिरी दिन अक्षय ..साला ऐसी नकल किए कि  अपुन को कोई फेल नहीं कर सकता.. और रिजल्ट वाले दिन हे⚘ भगवान मैंने नकल की थी बस अकल लगाना भूल गया🤔🤔 ध्यान रखना प्रभु,0.973,0.0147,0.9583,3,abuse_score_drop,Exam ke akhiri din Aakshay ..sala aisiki nakhli ki koi humko fail nahi kar sakta.. aur result wale din hee bhaiya Bhagwan maine nakhli ki thi bas akal lagana bhool gaya kya socha tha prabhu?
train-321,train,0,,औरतें नंगी होकर आये क्या रेस्टोरेंट मे,0.9985,0.03,0.9685,3,abuse_score_drop,Aurate nangi ho kar kya aayi restaurant me?
train-394,train,0,,बकरे की गर्दन कट रही थी  उस की जगह किसी और की कट गई । जान तो सब में बराबर है। फिर क्यू दिल दहल रहा है।,0.969,0.0162,0.9528,3,abuse_score_drop,"Bakre ki girdan kat rahi thi, uski jagah kisi aur ki kat gayi. Jaan to sab me barabar hai, phir bhi dil dhal raha hai."
train-408,train,0,,तू तो साली देश द्रोही है,0.9964,0.0125,0.9839,3,abuse_score_drop,Tu to sali deshdrohi hai
train-423,train,0,,बंदर बड़ा पहन लिया कर,0.9973,0.0105,0.9868,3,abuse_score_drop,"Bandar bada phir raha hai, dekh ke ro raha hai"
train-420,train,0,,"रेप बलात्कार छेड़छाड़  अधनंगे कपड़े पहनना, ये सब भी होता है। बॉलीवुड में।",0.9946,0.0337,0.9609,3,abuse_score_drop,"Rape, baccha, ched-ched, adh-nange kapde pahane bhi hota hai, sab kuch. Ya sab Bollywood me."
train-425,train,0,,बहुत अच्छा हिजड़ा आदमी मिला है,0.9991,0.0162,0.9829,3,abuse_score_drop,Bahut accha hijra adam mera mil gaya hai
train-433,train,0,,नंगी हो जा नंगी बिल्कुल नंगी हो जा कपड़े एक भी मत रख शरीर पर तेरे बाप का सर तेरे काम से ऊंचा उठ रहा है तेरा बाप पक्ष से इतना खुश है कि मेरी बेटी बहुत अच्छा काम कर रही है मौजा पर,0.9992,0.2636,0.7356,3,abuse_score_drop,"Nangi ho jao, nangi ho jao patake ek bhi na rakho apne shariyar per, tere baap ka sar tere kam se uth raha hai, tere baap bade khush hai ke meri beti achha kam kare hai mazak karna ke liye."
train-451,train,0,,इस तरह की वीडियो रोज बनाया करो रोज नई पैंटी पहना करो और दिखाया करो जिससे  पैंटी वालो के रोजगार में बढ़ोतरी होगी,0.9946,0.3485,0.6461,3,abuse_score_drop,"Is tareh ki video roz banao, roz nayi panty pehna ke dikhaao, jisse panty wale ke rojgar me badhotari hogi"
train-459,train,0,,कितनो को मरोगी इस लाल खून से 😜🤣🤣,0.9515,0.2265,0.725,3,abuse_score_drop,Kitne ko marogi is laal khoon se 😜🤣🤣
train-468,train,0,,सांड है क्या,0.9959,0.0153,0.9806,3,abuse_score_drop,Saan ko hai kya
train-487,train,0,,करो सेक्सी डांस करो खोलकर,0.9988,0.0048,0.994,3,abuse_score_drop,"Kar sexy dance, khulke kar"
train-490,train,0,,"दो चूहे पेड़ पर बैठे थे, नीचे से एक हाथी गुजरा। एक चूहा हाथी पर गिर गया। तभी दूसरा चूहा बोला, “दबा कर रख साले को, मैं भी आता हूँ।” 😂😂😂😂😂😂😂",0.8382,0.0267,0.8115,3,abuse_score_drop,"Do chuhie ped par baithle the, neech se ek hathi gujara. Ek chuhakar hathi par gir gaya. Tabhi dusra chuhaka bola, ""Daba kar rakho sale ko, main bhi aata hu."" 😂😂😂😂😂😂😂"
train-512,train,0,,चुदाई का रेट कितना है,0.9991,0.0374,0.9617,3,abuse_score_drop,Chudai ka rate kitna hai
train-519,train,0,,जब तक चूतियो की फौज है मोदी जी की मौज है,0.9992,0.9993,-0.0,3,abuse_lexicon_missing,Jab tak chutiyo ki fauj hai Modi ji ki mauj hai
train-525,train,0,,गधी नाखून तो काट लेने थे,0.9983,0.0144,0.984,3,abuse_score_drop,Gandi naakhon to kha karna the
train-529,train,0,,कमीनी नंगी भी हो जा,0.9993,0.3654,0.6338,3,abuse_score_drop,Kaminee nangi bhi ho jao
train-548,train,0,,रडीका बेटा है,0.9986,0.0198,0.9787,3,abuse_score_drop,Radika baccha hai
train-564,train,0,,aloneT = boy साले घर मे नही दाना मां बोलती खाना पकाना ऐसी औकात है और बात बडी करते हो,0.9975,0.0287,0.9688,3,abuse_score_drop,"Boy sale, teri maa ghar me daan nahi batati, khana nahi paka rahi hai, aur tu bada baat karta hai?"
train-547,train,0,,कंस के वंशज ऐसा ही सोचेगे कृष्ण वंशी नही मुलायम भैसे चराता था उसके बापकि कोई पान पट्टी की दुकान भी नही थी अंधेके हाथ बटेर लग गया पंचर छतरी छापो का टोला मिल गया आज खरबो का मालीक है कहा से आऐ भाई झुपडी मे रहने वाले के पास खरबो की दोलत कोई चारा डकार जाता कार सैवको गोलीयो से भुनने वाला सनातन का दुशमन सबसे बडा डकैत विधर्मीयो को खुश करने वाला उसके चेहते बाबा को आतंकी बोलते है शर्म आनी चाहिए जाकर अपना डीएन ए जांच करा जात मे ईतना अंधा ईतनी ईष्या की बाबा योगी को आतंकी कहता है मेरी जात का मुख्यमंत्री नही ईसलिए ऐसे भाव एक ने बिहार लूटा एक ने यूपी ये तो कुछ मुर्ख है सनातन मे जौ ऐसे निहत्थे कार सैवको पर गोली चलाने वाले मुल्ला का साथ दे रहे है बाप के बाद बेटा राजशाही बपोती है बेचारा ओवेशी सही कह रहा ये मूर्ख नही समझते 7प्रतिशत वाला 20 प्रतिशत के वोट लेकर मोदीयोगी का भय दिखा कर राज कर रहा है 20 प्रतिशत को थोडा सुखी हड्डी का टुकडा डाल देता है वो खुश की मोदी योगी को हराया पर तेरे को क्या मिला कुत्ते को कही सुखी हड्डी मिले ओर वो चबाता है अपने मसुडो से निकले वाले खुनको हड्डी का खुन समझ चाटता है खुश होताह,0.9989,0.9631,0.0358,3,collapsed_length,"Kons ke vanshaj aisa sochengee, krisna vanshee nahi, mulaayam bhaaise charata tha, uske baap ki koi paan pattee ki dukaan bhi nahi thi, andhe ke haath batter lag gaya, panchar chhatree chhapo ka tola mil gaya, aaj karon ke maalik hai, kaha se aaye bhai, jhopadi me rane wale ke paas karon ki dolat, koi chhara dakkar jata, kaar saevako golio se bhunane wala, sanatan ka dushman, sabse bada dakaat, vidharmaee ko khush karna wala, uske chehate babaa ko aatanki bolte hain, sharm aani chahiye, jaa kar apna DNA jaanch karo, jaat me itna andha, itni ieshya ke babaa yogi ko aatanki kahata hai, meri jaat ka mantrai nahi, isliye aise bhaav, ek ne Bihar lootaa, ek ne UP"
train-566,train,0,,गधे यह राजस्थान की वीडियो है,0.9983,0.0218,0.9765,3,abuse_score_drop,"Gande, ye Rajasthan ki video hai"
train-568,train,0,,सविंधान हरेक आदमी के लिए बनाया गया है लेकिन उसे कोही भी समझ नहीं पा रहा है और हमारे भारत देश के नेता लोग उस सविंधान का गलत इस्तेमाल करतें हैं और आगें से भी करते रहेंगे,0.9625,0.0163,0.9462,3,abuse_score_drop,Savindhan har ek admi ke liye banaya gaya hai lekin usko koi bhi samajh nahi pa raha hai aur hamare Bharat desh ke neeta log us savindhan ka galat istemal karte hain aur aage se bhi karte rahenge
