label,text
0,bhI.Da meM  bahuta  habsI mileMge
0,sAle bevakUpha apanI mAM makkhiyAM  to haTA deM
0,bura dedo to muha meM laMDa le lo to
0,kuttA vahA hai chillA tU kyoM rahA hai
1,chAya nahIM pItA hUM maiM isI ko Cho.Da diyA ok
0,"baiMkoM se sarakAra kA rishtA dalAlI kA hai, ba.De ba.De choroM ko lona dilAne ke evaja meM baiMka se bhI dalAlI lete hai aura ba.De loga se bhI"
0,"#pagalI 😍 hama to #bahota 😎 _shokIna haiM 👸👈 #tuje DolI🎠 me biThAke 👫 leke #jAte, para 👸👈 tere 👗 #kapa.De aura 💃 #sTAIla 👀 dekhake 👩 mAM kehegI 😋 #harAmakhora 😍👈 tujhe 👸 _bahu lAne ke lie kahA thA 👰 #Heroine ❌ nahIM !!"
0,ohh my god . yahAM itane sAre chamache isakA matalaba jalanakhoro kI kamI nahI hai
1,Apa mere kameMTa kA itanA  iMtajAra kyoM karate hai
0,bhosa.DI ko bAta karane do
1,Apa bahuta pyAre ho sanama
0,hameM   paramAtmA kI   bhakti   karanI    chAhie   nahIM to   gadhI   banogI    sat   saheb  ji🙏🙏
0,ye bIjepI vAle bahuta chUtiyA hai
1,tumhAre pIChe pa.De haiM  bahuta sAre namUne haiM   kisI kA to phreMDa rikvesTa eksepTa kara lo😂😂😂😂🤣😂😀😀😀😁😁
0,teri mA.N kichuta sAli
1,supara verI guDa kAlA chashmA
0,sUchiyAM itanI seksI haiM chUta kitanI masta hogI tumhArI
1,suMdara disatesa tU nAda khuLA
1,nAka klIna ho jAtA kyA aisA karane se
0,koI bhI dhakkA mukkI nahIM kareMgA sabhI ko gAlI dene kA barAbara mokA milegA sabhI ke chAya nAshte ki vyavasthA karatA hUM aura AshA karatA hUM ki sabhI nayI gAlI deMge  😂😂😂😂😁😁😁
1,majIda milI eka nA eka dina
1,Apane sahI kahA|DIenae jAMcha karake eka eka bhArata meM harAma kI kamAI khAte pa.De harAmakhora ko nikAlanA chAhie|
0,are  o  kyUTa  bebI  tAkata  to  bahuta  se  posTara para lakhANa vichAra vyakta karake   bichArepana dIvAne kI  kuCha    TI  bI  peshaMTa nahIM   jo  koshika ki    tho.DA  ChupAne ki  koshIsa kidhara se  AI  AI   AI AI  karate raho  koI    koshIka  karo       bhAI  kAMgale nahIM ho     ai DA banake pe.DA  khAte ho gu.Da moraniMga   kisI ke  muMha meM  hAtha mata DAlo  bAta  bulavAne ke rImeka    bebI   babalI  baMTI    nATaka kama karo   kaTI  kaTI kaTI   karo   kaTI
0,Ajakala bachche javAna ho rahe hai aura kapa.De ChoTe ho rahe hai isase ba.De kapa.De to shAyada pAMcha sAla ke bachche pahanate hai Ajakala kI pI.DhI ko pa.Dhane likhane kI jarUrata nahI hai harakate to Apa loga jAhila.anapa.Dha . gavAra  vAlo se badatara karate ho
0,pUrI naMgI hokara vIDiyo banAo gIta saba lAika kareMge
0,sattA kI kursI hai kuCha bhI kyA sakatI hai
0,kitanI girI huI aurata hai tujha meM tho.DI bhI sharma nAma kI chIja nahIM hai kyA kaisI aurata hai tU tho.DI bhI sharma kara yaha saba karake tuma kyA karanA chAha rahI ho tuma to karaikTara lesa aurata ho hI sAtha hI tuma saba ko badanAma karanA chAhatI ho besharma aurata tuma bAjArU aurata ho raMDI ho tuma
0,hijAba isalaye dhake rahate ho ki kahI kisI ke sAtha muha mAra kara to nahI AI hai aura sarakAra phrI to dekara dekho hiMdustAna se eka bhI hijAba nahI rahegA jaya hinda jaya bhArata 🙏🙏🙏
1,"AdaraNIya phalAnI jI   Apake mubAraka pAvoM ke bIcha jo daravAzA-e-jannata hai , usame ye nAchIza apane auzAra-e-tabasuma kI dAkhilA-e-gachAgacha kI izAzata chAhatA hai.. 😝😜😝😜 👉"
0,"tuma basa yahI karo , AtaMkavAdI bano"
1,"dila ko sabake lie patthara banA ke rakhA hai basa merI yAda ko jevara banA ke rakhA hai ... !!  jisako tuma la.DakI samajhate ho ""jAdUgaranI"" hai jAne kitano ko kabutara banA ke rakhA hai ..!!😊"
0,yaha to pahale se TUTA huA haivI jhADU bhosa.DI ke
1,chAya kA paisA modI jI deMge hAM nA
0,bahana kI loha.DI raMDI
1,nahIM jI bilkula bure nahIM ho Apa to mAM ke lADale beTe ho jo ChoDa gaye jAne do|❤️❤️
1,bahuta hI achChA pradarshana|
1,jise achChI aurata mila jAtI vo AdamI usakI kabhI kadara nahI karatA hai dIdI  patA nahI bhagavAna bhI auratoM  kI aisI kismata kI yU likha detA hai  ke8ke8
0,bApa ke kapa.De utara gae beTI ke pahanave meM beTI ne kapaDe utara die phlovara ba.DhAne meM
0,ina sAle ke khAnadAna hai to isa desha ko lUTa liyA barbAda kara diyA
1,"bhaiyA bolA bahanA pyArI, tU hai merI rA jadulArI, AMcha nA A ne dUMgA tujha pe ye merA hai vAdA tujhase!"
0,"pheMka lo jitanA lambA pheMka sakate ho , pappU mUtrajIvIyoM"
0,"ye ko kisAnoM ke ba.De  hama darda banate hai ,,yahI loga 1 rupayA kilo reTa bdh jAne para hijaro kI taraha naMgA nAcha karate haiM|"
0,dhArA 302 lagA do sAle para
0,chora jIte yA DAkU apane ko kyA desha ko to sabhI lUTa rahe haiM
1,gajaba meDama jI vo kyA bAta hai jI❤️❤️❤️❤️❤️🌹❤️🌹❤️🌹❤️🌹❤️🌹❤️🌹❤️🌹❤️🌹❤️🌹❤️🌹❤️
1,kutte ke bhI nasIba dekho|😍😍😍😝😝
1,TIvI📺 aura mobAIla se.... dhanyavAda🙏💕.
0,AvA garmI detI ho
1,"""eka kaMjUsa apane bachche ko piTa rahA thA😋 pa.DosI ne pUChA- kyoM pITa rahe ho😈  kaMjUsa-isako bolA eka sIDhI Cho.Dakara chaढ़, chappala kama ghisegI😛  nAlAyaka 2 sIढ़I Cho.Dakara chaढ़A, pAjAmA phA.Da diyA.😳🤣🤣🤣🤣🤣"
0,tumhAre dUdha itane sundara hai to vo kitanI suMdara hogI
0,duniyA meM chutiyo kI kamI nahIM hai l eka dhuMDo to sau mila jAte hai l Hopless
