row_id,split,label,text,hindi_text,hindi_abuse,hinglish_abuse,score_delta,attempts
train-3358,train,0,"Punjab ke un kuttay ko kaun samajha ke jo tum ""apna bhai"" kehte ho unhe hi terrorism ki saath aur sainikon ko marne lage hain?",पंजाब के उन कुत्तों को कौन समझाए कि जिन्हें तुम अपना भाई कह रहे वहीं आंतकवाद का समर्थन कर सैनिकों को मार रहे हैं,0.9991,0.9738,0.0252,2
train-14794,train,1,Pagal ho kya 😱😱😝😝😝,पागल हैं क्या 😱😱😝😝😝,0.0259,0.0055,0.0205,1
train-4426,train,1,"Zindagi jhanda thi, phir SC pr ake aur bhi v ho gayi 😂😂 🤔🤔 Waise Delhi wale hain yeh 🙄 😂 Ho toh please 🤦 jyada khush mat hona, sarkar ko koi bharosa nahi 😝😝😝",🙄  ज़िन्दगी झण्ड थी  फिर sc pr आके और v होगयी 😂😂 🤔🤔  वैसे  दिल्ली वाले है यह🙄   😂 हो तो प्लीज 🤦 ज़्यादा खुश मत होना  सरकार को कोई भरोसा नही😝😝😝,0.0096,0.0534,-0.0438,1
train-12832,train,0,"Tujhe jo samajhna hai samajh 😂😂 2002 me EVM nahi tha tab se Modi barakarar hai, kya ukhad paaye? Agar EVM me gaddbad hoti to Bengal par BJP ka parchham hota, Rajasthan bhi hamara hota, Tamilnadu bhi samjha","तुझे जो समझना है समझ 😂😂 2002 मे evm नही था तब से मोदी बरकरार है , क्या उखाड़ पाए यदि evm में गड़बड़ी होती तो बंगाल पर bjp का पर्चम होता, राजस्थान भी हमारा होता, तमिलनाडु भी समझा",0.9959,0.9891,0.0068,1
train-11205,train,0,Andhbhakt-Andhbhakt hi chhodma naam se khushiyain mana raha hai social media par dusre ko badname karne ke liye,अंधभक्त-अंडभक्त ही छद्म नाम से खुशियां मना रहा है सोशल मीडिया पर दूसरे को बदनाम करने के लिए,0.9992,0.9987,0.0005,1
train-16946,train,0,"Ha, vaise bhi inka to koi aur mudda hi nahi hai. Yeh log to sirf dharma aur jati ke naam par vote maang ke janta ko chutiya bana rhe hai. 😡",हा वैसे भी इनका तो कोई और मुद्दा ही नही है  ये लोग तो सिर्फ धर्म और जाति के नाम पर वोट मांग कर जनता को चूतिया बना रहे है ।😡,0.9992,0.9991,0.0001,1
train-5365,train,1,Bahot bahot cute ho tum 🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜,बहोत बहोत सुन्दर जी 🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜🌿💜,0.0043,0.0043,0.0,1
train-6665,train,0,Jaroorat hai ek chudail ki jo hamari raton ki nind aur din ka chain uda sake 😁😁😁😄😜😄😂😂,"जरूरत है एक चुड़ैल,👻 की जो  हमारी रातों की नींद व दिन का चैन उड़ा सके😁😁😁😄😜😄😂😂",0.9905,0.9502,0.0403,3
train-19693,train,1,Mohabbat chhod ke har ek jurm kar lena warna tum bhi musafir ban jao ge tanha raaton ke,मोहब्बत छोड़ कर हर एक जुर्म कर लेना वरना तुम भी मुसाफिर बन जाओगे तनहा रातों के,0.0058,0.0199,-0.0141,1
train-1579,train,1,Ye machli Rapti Nadi mein uski Siddharth Nagar ke paas Chitra Nadi mein dekhi gayi hai.,ये मछली राप्ती नदी में उसका सिद्धार्थ नगर के पास chitra पार नदी में देखी जा चुकी है,0.006,0.9563,-0.9502,1
