row_id,split,label,text,hindi_text,hindi_abuse,hinglish_abuse,score_delta,attempts
train-4,train,1,"Main chai nahi peeta, isko hi chhod diya ok",चाय नहीं पीता हूं मैं इसी को छोड़ दिया ok,0.0048,0.9974,-0.9926,1
train-0,train,0,Bheed mein bahut habsi milenge,भीड़ में  बहुत  हब्सी मिलेंगे,0.0117,0.0203,-0.0086,1
train-5,train,0,"Bank se sarkar ka rishta dalaali ka hai, bade bade choron ko loan dekar bhi bank se dalaali lete hai aur bade log se bhi.","बैंकों से सरकार का रिश्ता दलाली का है, बड़े बड़े चोरों को लोन दिलाने के एवज में बैंक से भी दलाली लेते है और बड़े लोग से भी",0.9975,0.9989,-0.0014,1
train-8,train,1,Aap mere comment ka itna wait kyun karte ho,आप मेरे कमेंट का इतना  इंतजार क्यों करते है,0.0049,0.007,-0.0022,1
train-2,train,0,Bur dedo toh mukh me land le lo toh,बुर देदो तो मुह में लंड ले लो तो,0.9991,0.9987,0.0003,2
train-9,train,0,Bhosdi ko baat karna do,भोसड़ी को बात करने दो,0.9993,0.9982,0.0011,1
train-3,train,0,Kutta wahan hai chillana kyun band nahi karta tu,कुत्ता वहा है चिल्ला तू क्यों रहा है,0.9853,0.9864,-0.001,2
train-1,train,0,"Sala bewakoof apni ma ka kuch bhi mat chodna, woh to phirse aajaye gi.",साले बेवकूफ अपनी मां मक्खियां  तो हटा दें,0.9979,0.9992,-0.0013,2
train-10,train,1,Aap bahut cute ho sanam,आप बहुत प्यारे हो सनम,0.0048,0.0051,-0.0003,1
train-7,train,0,"OHH MY GOD. Yahan itne sare chamche, iska matlab jalnakhor ke kam nahi hain",ohh my god . यहां इतने सारे चमचे इसका मतलब जलनखोरो की कमी नही है,0.9992,0.98,0.0191,2
train-12,train,0,Ye BJP wale bahut chutiya hai,ये बीजेपी वाले बहुत चूतिया है,0.9993,0.9993,0.0,1
train-13,train,1,"Tumhare peechey pade hue bahut sare namune hain, kisi ka toh friend request accept karo 😂😂😂😂🤣😂😀😀😀😁😁",तुम्हारे पीछे पड़े हैं  बहुत सारे नमूने हैं   किसी का तो फ्रेंड रिक्वेस्ट एक्सेप्ट कर लो😂😂😂😂🤣😂😀😀😀😁😁,0.0098,0.0258,-0.0161,1
train-15,train,1,Super very good black glasses,सुपर वेरी गुड काला चश्मा,0.0046,0.0065,-0.002,1
train-16,train,0,"Suciyan itni sexy hain, chut kitni mast hogi tumhari",सूचियां इतनी सेक्सी हैं चूत कितनी मस्त होगी तुम्हारी,0.9993,0.9992,0.0,1
train-6,train,0,"Pagli 😍 Ham to bahot 😎 shokhinein hain 👸👈 Tujhe doli 🚲 me bithake 👫 leke jate, par 👸👈 teri 👗 kapde aur 💃 style 👀 dekhke 👩 ma kehegi 😋 haraamkhore 😍👈 Tujhe 👸 bahau lane ke liye kaha tha 👰 Heroine ❌ nahi !!","#पगली 😍 हम तो #बहोत 😎 _शोकीन हैं 👸👈 #तुजे डोली🎠 मे बिठाके 👫 लेके #जाते, पर 👸👈 तेरे 👗 #कपड़े और 💃 #स्टाईल 👀 देखके 👩 मां केहेगी 😋 #हरामखोर 😍👈 तुझे 👸 _बहु लाने के लिए कहा था 👰 #Heroine ❌ नहीं !!",0.9992,0.9858,0.0134,1
train-18,train,1,Nak clean ho jata hai kya aisa karte hue?,नाक क्लीन हो जाता क्या ऐसा करने से,0.0075,0.0096,-0.0021,1
train-17,train,1,Tum sundar lagte ho nalla khula,सुंदर दिसतेस तू नाद खुळा,0.0048,0.0093,-0.0045,1
train-14,train,0,Teri ma ki chut sale,तेरि माँ किचुत सालि,0.9984,0.9993,-0.0009,2
train-20,train,1,Masjid mil jaaye ek na ek din,मजीद मिली एक ना एक दिन,0.0054,0.0052,0.0002,1
train-24,train,0,"Puri nangi ho kar video banao, song sab like karenge",पूरी नंगी होकर वीडियो बनाओ गीत सब लाइक करेंगे,0.9992,0.9913,0.0078,1
train-21,train,1,Aapne sahi kaha. DNA test karke ek ek Bharat me haraam ki kamaai khaate padne wale haraamkhore ko nikalna chahiye.,आपने सही कहा।डीएनए जांच करके एक एक भारत में हराम की कमाई खाते पड़े हरामखोर को निकालना चाहिए।,0.9976,0.994,0.0036,1
train-25,train,0,"Satta ki chhair hai, kuch bhi kar sakti hai",सत्ता की कुर्सी है कुछ भी क्या सकती है,0.9681,0.8678,0.1003,1
train-29,train,0,"Tum bas ye hi karo, terrorist bano","तुम बस यही करो , आतंकवादी बनो",0.9901,0.9858,0.0043,1
train-23,train,0,"Ab to bacche jawaan ho rhe hain aur kapde chote ho rhe hain. Isse bada kapda toh panch saal ka baccha hi pahenta hai. Abki paidge ko padhne-likhne ki zaroorat nahi hai. Har karta toh aap log jahil, anpadh, gawar wale se baddar karte ho.",आजकल बच्चे जवान हो रहे है और कपड़े छोटे हो रहे है इससे बड़े कपड़े तो शायद पांच साल के बच्चे पहनते है आजकल की पीढ़ी को पढ़ने लिखने की जरूरत नही है हरकते तो आप लोग जाहिल.अनपढ़ . गवार  वालो से बदतर करते हो,0.9982,0.9989,-0.0007,1
